"gene_name","trt1","trt2","untrt1","untrt2"
"AC000067.1",0,0,0,0
"AC000068.10",0,1,0,0
"AC000068.5",1,3,1,2
"AC000068.9",0,0,0,0
"AC000077.2",0,0,0,0
"AC000078.5",3,3,19,2
"AC000081.2",0,0,0,0
"AC000089.3",240,90,256,232
"AC000095.9",0,0,0,0
"AC000099.1",0,0,0,0
"AC000110.1",57,74,71,67
"AC000111.3",0,0,0,0
"AC000111.4",0,0,0,0
"AC000111.5",0,0,0,0
"AC000111.6",0,0,0,0
"AC000120.7",2,0,2,0
"AC000123.4",22,34,19,21
"AC000124.1",0,0,0,0
"AC000362.1",0,0,0,0
"AC000367.1",0,0,0,0
"AC000370.2",0,0,0,0
"AC000374.1",0,0,0,0
"AC000403.1",0,0,0,0
"AC002044.4",0,0,0,0
"AC002056.3",77,40,63,80
"AC002056.5",0,0,0,0
"AC002059.10",0,0,0,0
"AC002064.4",5,6,3,9
"AC002064.5",3,1,0,1
"AC002066.1",1,7,7,3
"AC002066.2",0,0,0,0
"AC002069.5",6,2,3,3
"AC002069.6",3,3,2,6
"AC002070.1",0,0,0,0
"AC002075.3",11,6,12,9
"AC002075.4",0,0,0,0
"AC002076.10",0,0,0,0
"AC002115.5",0,0,0,0
"AC002115.9",0,0,0,0
"AC002116.7",0,0,0,0
"AC002116.8",0,0,0,0
"AC002117.1",2,2,9,13
"AC002127.2",0,0,0,0
"AC002127.4",0,0,0,0
"AC002128.5",0,0,0,0
"AC002306.1",0,0,0,0
"AC002310.10",0,3,1,6
"AC002310.12",2,5,3,7
"AC002310.13",0,0,0,0
"AC002310.17",0,0,0,0
"AC002310.7",0,0,1,0
"AC002314.4",0,0,1,1
"AC002321.1",0,0,0,0
"AC002321.2",0,0,0,0
"AC002331.1",0,0,0,0
"AC002365.1",0,0,0,0
"AC002366.3",0,0,0,1
"AC002368.4",0,0,0,0
"AC002383.2",0,0,0,0
"AC002386.1",0,0,0,0
"AC002395.1",0,0,0,0
"AC002398.11",19,16,18,25
"AC002398.12",0,0,0,0
"AC002398.13",2,1,2,3
"AC002398.5",0,0,0,1
"AC002398.9",0,0,0,0
"AC002400.1",0,1,1,4
"AC002401.1",0,0,0,0
"AC002429.4",0,0,0,0
"AC002429.5",1,4,0,6
"AC002451.1",0,0,0,0
"AC002451.3",8,1,1,1
"AC002454.1",2,1,3,1
"AC002456.2",0,6,2,9
"AC002463.3",0,0,0,0
"AC002465.2",0,0,0,1
"AC002467.7",38,21,27,37
"AC002472.1",0,0,0,1
"AC002472.11",0,0,0,0
"AC002472.13",1,0,1,1
"AC002477.1",6,0,6,3
"AC002480.2",0,0,0,0
"AC002480.3",7,1,1,13
"AC002480.4",0,2,0,2
"AC002480.5",0,0,0,2
"AC002485.1",0,0,0,0
"AC002486.2",22,8,55,30
"AC002486.3",0,0,0,0
"AC002511.1",0,0,0,0
"AC002511.2",0,0,0,0
"AC002511.3",0,0,0,0
"AC002519.6",530,449,412,582
"AC002519.8",0,2,1,1
"AC002523.1",0,0,0,0
"AC002539.1",0,0,0,0
"AC002539.2",0,0,0,0
"AC002542.2",0,0,0,1
"AC002543.2",0,1,0,0
"AC002550.5",0,0,0,0
"AC002551.1",0,0,0,0
"AC002553.1",0,1,1,5
"AC002553.4",0,0,1,1
"AC002558.1",0,0,0,0
"AC002978.1",0,0,0,0
"AC002979.1",0,0,0,0
"AC002981.1",0,0,0,0
"AC002984.2",0,0,0,0
"AC002985.3",0,0,0,0
"AC002992.1",0,0,0,0
"AC002994.1",0,0,0,0
"AC003001.1",0,0,0,0
"AC003002.4",0,0,0,0
"AC003002.6",4,3,9,4
"AC003003.5",0,0,0,0
"AC003005.2",0,0,0,0
"AC003005.4",0,0,0,0
"AC003006.1",0,0,0,0
"AC003006.7",0,0,0,0
"AC003009.1",0,0,0,0
"AC003009.2",10,12,8,24
"AC003029.1",0,0,0,0
"AC003035.1",0,0,0,0
"AC003043.1",0,0,0,0
"AC003045.1",0,0,0,0
"AC003051.1",1,1,9,12
"AC003070.1",0,0,0,0
"AC003075.4",0,3,1,0
"AC003079.1",0,0,0,0
"AC003080.4",0,0,0,0
"AC003084.2",1,0,0,0
"AC003088.1",3,0,1,3
"AC003090.1",4,3,2,6
"AC003092.1",2,0,0,0
"AC003092.2",0,0,0,1
"AC003101.1",1,0,1,0
"AC003102.1",0,0,0,0
"AC003102.3",6,15,8,19
"AC003104.1",1,3,1,0
"AC003658.1",0,0,0,0
"AC003664.1",0,0,0,0
"AC003665.1",31,35,66,66
"AC003666.1",0,0,0,0
"AC003681.1",0,0,0,0
"AC003682.16",1,3,5,0
"AC003682.17",66,38,80,71
"AC003956.1",1,3,0,2
"AC003958.1",0,0,0,0
"AC003958.2",0,0,0,0
"AC003958.6",0,0,0,0
"AC003968.1",0,0,0,0
"AC003973.1",0,0,0,0
"AC003973.4",0,0,0,0
"AC003973.5",0,0,0,0
"AC003973.6",0,0,0,0
"AC003984.1",0,0,0,0
"AC003985.1",0,0,0,0
"AC003986.5",1,0,0,0
"AC003986.6",29,5,12,19
"AC003986.7",2,0,1,2
"AC003988.1",0,0,0,0
"AC003989.3",0,0,0,0
"AC003989.4",0,0,0,0
"AC003991.3",0,0,1,1
"AC004000.1",0,0,0,0
"AC004004.2",0,0,0,0
"AC004006.2",0,0,0,0
"AC004009.3",0,0,0,0
"AC004012.1",0,0,0,0
"AC004014.3",0,0,0,0
"AC004014.4",92,80,101,143
"AC004016.1",0,0,0,0
"AC004016.2",0,0,0,0
"AC004017.1",5,1,3,5
"AC004019.10",0,1,1,3
"AC004019.13",0,1,0,0
"AC004019.18",0,0,0,0
"AC004022.7",0,0,0,0
"AC004022.8",0,0,0,0
"AC004041.2",2,1,1,5
"AC004051.2",0,0,0,0
"AC004052.1",0,0,0,0
"AC004053.1",0,0,0,0
"AC004054.1",0,0,0,0
"AC004057.1",54,16,48,24
"AC004062.2",0,0,0,0
"AC004063.1",0,0,0,0
"AC004066.2",0,0,0,0
"AC004066.3",0,0,0,0
"AC004067.5",11,7,4,15
"AC004069.1",3,4,6,7
"AC004069.2",2,0,1,0
"AC004070.1",0,0,0,0
"AC004074.3",195,227,225,341
"AC004074.4",0,1,0,0
"AC004076.7",0,1,0,1
"AC004076.9",0,3,0,1
"AC004079.1",0,0,0,0
"AC004112.4",6,4,4,6
"AC004112.5",0,0,0,0
"AC004112.7",0,0,0,0
"AC004125.3",0,0,0,0
"AC004129.7",0,0,0,0
"AC004129.9",0,0,0,0
"AC004156.3",4,1,3,0
"AC004158.2",0,1,1,4
"AC004158.3",0,0,0,0
"AC004159.1",0,0,0,0
"AC004160.4",4,6,6,9
"AC004166.6",1,5,0,8
"AC004221.2",1,0,5,3
"AC004231.2",0,0,0,0
"AC004231.7",0,0,0,0
"AC004237.1",1,3,2,5
"AC004257.1",0,0,0,0
"AC004257.3",32,30,29,38
"AC004381.6",60,65,66,90
"AC004381.7",4,0,2,0
"AC004383.3",5,0,2,1
"AC004386.3",0,0,0,0
"AC004386.4",12,2,5,4
"AC004410.3",0,0,0,2
"AC004447.2",156,83,172,208
"AC004448.2",1,0,1,0
"AC004448.5",0,2,0,0
"AC004449.6",2,1,1,0
"AC004453.8",9742,5505,10056,12178
"AC004458.1",0,0,0,0
"AC004460.1",0,0,0,0
"AC004461.4",0,0,0,0
"AC004463.6",15,9,31,24
"AC004466.1",2,1,1,2
"AC004471.10",0,2,0,3
"AC004471.9",0,0,0,0
"AC004485.3",0,0,0,0
"AC004490.1",0,0,0,2
"AC004492.1",0,0,0,0
"AC004510.3",0,0,0,0
"AC004520.1",0,0,0,0
"AC004528.1",0,0,0,0
"AC004528.4",0,0,0,0
"AC004535.2",0,0,0,0
"AC004538.3",48,46,22,38
"AC004540.4",0,0,0,0
"AC004540.5",0,0,0,0
"AC004543.1",0,0,0,0
"AC004543.2",2,4,3,4
"AC004549.6",1,0,0,0
"AC004552.1",0,0,0,0
"AC004562.1",2,1,1,4
"AC004593.3",0,0,0,0
"AC004595.1",0,0,0,0
"AC004603.4",0,0,0,1
"AC004623.2",0,0,0,0
"AC004637.1",1,1,0,0
"AC004655.1",0,0,0,0
"AC004656.1",0,0,0,0
"AC004673.1",0,0,0,0
"AC004691.5",0,1,0,0
"AC004692.4",0,0,0,0
"AC004692.5",0,0,0,0
"AC004699.1",0,0,0,0
"AC004702.2",0,0,0,0
"AC004706.1",0,0,0,0
"AC004744.3",0,0,0,0
"AC004745.1",0,0,0,0
"AC004769.1",0,0,0,0
"AC004771.1",1,0,0,1
"AC004775.5",0,0,0,0
"AC004791.2",1,0,0,0
"AC004797.1",542,376,590,772
"AC004812.1",0,0,0,0
"AC004817.1",0,0,0,0
"AC004824.1",0,0,0,0
"AC004824.2",0,0,0,0
"AC004832.1",0,0,0,0
"AC004837.3",0,0,0,0
"AC004837.4",0,0,0,0
"AC004837.5",7,0,5,2
"AC004840.8",0,0,0,0
"AC004840.9",73,54,73,107
"AC004851.1",0,0,0,0
"AC004851.2",0,0,0,0
"AC004854.4",0,0,0,0
"AC004854.5",0,0,0,3
"AC004862.6",0,0,0,0
"AC004866.1",0,0,0,0
"AC004866.3",0,0,0,0
"AC004869.2",0,0,0,0
"AC004869.3",0,0,0,0
"AC004870.3",0,0,0,0
"AC004870.4",0,0,0,0
"AC004870.5",0,0,0,0
"AC004875.1",0,0,0,0
"AC004878.2",0,0,0,0
"AC004878.3",0,0,0,0
"AC004878.5",0,0,0,0
"AC004878.6",0,0,0,0
"AC004878.7",0,0,0,0
"AC004878.8",0,0,0,0
"AC004889.1",0,0,0,0
"AC004893.10",31,37,18,72
"AC004893.11",57,52,72,85
"AC004895.1",0,0,0,0
"AC004895.4",1,1,1,2
"AC004899.1",0,0,0,0
"AC004899.3",2,0,0,0
"AC004901.1",0,0,0,0
"AC004906.3",0,0,0,0
"AC004911.2",0,0,0,0
"AC004917.1",0,0,0,0
"AC004920.2",0,0,0,0
"AC004920.3",0,0,0,0
"AC004924.1",0,0,0,0
"AC004938.5",1,0,0,0
"AC004941.3",0,0,0,0
"AC004941.5",296,291,282,449
"AC004943.1",0,0,0,0
"AC004945.1",0,1,2,1
"AC004947.2",0,0,0,0
"AC004951.5",3,4,12,4
"AC004951.6",0,0,0,2
"AC004967.7",32,28,43,37
"AC004969.1",0,0,0,0
"AC004980.1",0,0,0,0
"AC004980.10",0,1,0,2
"AC004980.11",0,0,0,0
"AC004980.7",14,6,21,48
"AC004980.8",0,0,0,0
"AC004980.9",0,0,0,0
"AC004985.12",1,1,1,1
"AC004987.10",0,0,0,0
"AC004987.9",709,716,481,609
"AC004988.1",0,0,5,2
"AC005000.1",0,0,0,0
"AC005000.2",0,0,0,0
"AC005000.3",0,0,0,0
"AC005000.4",0,0,0,0
"AC005003.1",29,17,60,108
"AC005007.3",0,0,0,0
"AC005008.2",0,0,0,0
"AC005008.3",0,0,1,0
"AC005009.1",0,0,0,0
"AC005009.2",0,0,0,0
"AC005013.1",0,0,0,0
"AC005013.5",0,0,0,0
"AC005014.5",414,272,438,584
"AC005017.2",0,0,0,0
"AC005019.2",0,0,0,0
"AC005019.3",0,0,0,0
"AC005020.1",0,0,0,1
"AC005022.1",1,3,5,1
"AC005027.3",1,0,1,0
"AC005029.1",2,1,0,0
"AC005033.6",0,0,0,0
"AC005034.2",0,0,0,0
"AC005034.3",16,7,11,18
"AC005037.1",0,0,0,1
"AC005037.2",0,1,0,0
"AC005037.3",0,0,0,0
"AC005037.4",1,0,0,0
"AC005037.6",0,0,0,0
"AC005040.3",0,0,0,0
"AC005041.11",0,0,0,0
"AC005041.17",0,1,0,0
"AC005042.2",0,0,0,0
"AC005042.3",0,0,0,0
"AC005042.4",1,3,4,2
"AC005042.5",0,0,0,0
"AC005048.1",0,0,0,0
"AC005062.2",37,34,111,91
"AC005071.1",1,0,4,2
"AC005076.5",12,12,4,15
"AC005077.12",0,0,1,2
"AC005077.14",7,0,1,4
"AC005077.5",0,0,0,0
"AC005077.7",0,0,0,0
"AC005077.8",0,0,0,0
"AC005077.9",0,0,0,0
"AC005082.1",0,0,5,0
"AC005082.12",2,3,2,0
"AC005083.1",0,0,1,0
"AC005086.1",0,1,0,0
"AC005086.2",0,0,0,0
"AC005086.3",0,0,0,0
"AC005086.4",0,0,0,0
"AC005086.5",0,0,0,0
"AC005086.6",0,0,0,0
"AC005086.7",0,0,0,0
"AC005086.8",0,0,0,0
"AC005088.1",0,0,0,0
"AC005088.2",0,0,0,0
"AC005094.2",0,0,0,0
"AC005102.1",11,6,27,16
"AC005104.3",11,6,1,3
"AC005105.2",0,0,0,1
"AC005150.1",0,0,0,0
"AC005152.3",0,0,0,0
"AC005154.6",400,311,648,766
"AC005154.7",38,12,33,39
"AC005154.8",1,1,1,2
"AC005159.1",0,0,0,0
"AC005160.3",0,0,0,0
"AC005161.1",0,0,0,0
"AC005162.4",0,0,0,0
"AC005162.5",0,0,0,0
"AC005176.1",0,0,0,0
"AC005176.2",0,0,0,0
"AC005176.3",0,0,0,0
"AC005178.1",0,0,0,0
"AC005189.6",4,1,6,6
"AC005195.1",0,0,0,0
"AC005197.2",0,0,1,1
"AC005215.1",0,0,0,0
"AC005220.3",0,0,0,1
"AC005224.2",16,9,14,13
"AC005229.1",4,0,3,3
"AC005229.5",0,0,0,0
"AC005229.7",120,64,109,122
"AC005235.1",0,0,0,0
"AC005237.2",0,0,1,0
"AC005237.4",0,1,0,1
"AC005253.2",44,15,29,27
"AC005253.4",0,0,0,0
"AC005255.3",238,169,254,307
"AC005255.5",0,0,0,0
"AC005255.6",0,0,0,0
"AC005256.1",0,0,0,0
"AC005262.2",0,0,0,0
"AC005262.3",0,0,0,0
"AC005262.4",0,0,0,0
"AC005264.2",0,0,0,0
"AC005276.1",0,0,0,0
"AC005280.1",0,0,0,0
"AC005281.1",0,0,0,0
"AC005281.2",0,0,0,0
"AC005284.1",0,0,0,0
"AC005288.1",0,1,0,0
"AC005300.5",0,0,1,0
"AC005301.8",0,0,0,0
"AC005304.1",0,1,0,0
"AC005306.3",16,2,12,14
"AC005307.1",0,0,0,0
"AC005307.3",0,0,0,0
"AC005324.6",0,0,0,0
"AC005324.7",0,0,0,0
"AC005326.2",0,0,0,0
"AC005329.7",8,4,2,0
"AC005330.2",1,9,2,10
"AC005336.4",20,6,16,10
"AC005336.5",10,4,2,6
"AC005339.2",0,0,0,0
"AC005351.1",55,52,45,63
"AC005355.1",0,0,0,0
"AC005355.2",0,0,0,2
"AC005356.1",3,3,6,2
"AC005357.1",0,0,0,0
"AC005358.1",0,0,0,0
"AC005358.3",0,0,0,0
"AC005363.9",0,0,0,0
"AC005370.1",0,0,0,0
"AC005375.1",0,0,0,0
"AC005387.2",5,3,1,7
"AC005387.3",3,3,7,7
"AC005391.2",0,1,0,1
"AC005392.13",0,3,0,5
"AC005394.1",0,0,0,0
"AC005399.1",0,0,0,0
"AC005477.1",0,0,0,0
"AC005481.5",1,0,1,0
"AC005484.5",0,0,0,0
"AC005487.2",1,0,0,0
"AC005488.1",0,0,0,1
"AC005488.11",0,0,0,0
"AC005493.1",0,0,0,0
"AC005498.3",2,2,2,2
"AC005498.4",0,1,3,1
"AC005513.1",0,0,0,0
"AC005517.3",8,6,7,12
"AC005518.2",0,0,0,0
"AC005519.4",26,17,46,41
"AC005522.6",0,0,0,0
"AC005522.7",0,0,0,0
"AC005523.2",0,0,0,0
"AC005523.3",0,1,1,1
"AC005532.5",1,1,0,0
"AC005534.6",2,0,2,2
"AC005534.8",0,0,0,0
"AC005537.2",0,0,0,0
"AC005538.5",0,0,0,0
"AC005539.2",16,17,17,30
"AC005540.3",0,1,2,2
"AC005544.1",0,0,0,0
"AC005546.2",2,1,2,3
"AC005549.1",0,0,0,0
"AC005549.2",0,0,0,0
"AC005549.3",1,1,0,0
"AC005550.3",0,0,0,0
"AC005550.4",0,0,0,0
"AC005550.5",0,0,0,0
"AC005559.2",0,0,0,0
"AC005559.3",0,0,0,0
"AC005562.1",8,5,9,10
"AC005588.2",0,0,0,0
"AC005592.1",0,4,0,0
"AC005592.2",1,0,3,6
"AC005592.3",0,1,4,2
"AC005594.3",7,1,0,5
"AC005597.1",0,0,0,0
"AC005606.1",0,0,0,0
"AC005606.14",0,0,0,0
"AC005606.15",0,0,0,0
"AC005609.1",1,2,0,1
"AC005609.2",0,0,0,0
"AC005609.3",0,0,0,0
"AC005614.3",0,0,0,0
"AC005614.5",0,0,0,0
"AC005616.1",0,0,1,0
"AC005616.2",0,0,0,0
"AC005618.1",0,0,0,0
"AC005618.6",40,34,72,104
"AC005621.1",0,0,0,0
"AC005624.2",6,2,9,5
"AC005625.1",0,0,0,0
"AC005626.3",0,0,0,0
"AC005631.1",0,0,0,0
"AC005682.5",28,76,26,145
"AC005682.6",24,39,40,52
"AC005682.7",0,1,10,1
"AC005682.8",1,6,2,1
"AC005686.1",0,0,0,0
"AC005701.1",0,0,0,0
"AC005702.1",4,1,6,3
"AC005702.2",0,0,2,4
"AC005702.3",0,0,0,1
"AC005702.4",1,0,0,0
"AC005703.2",0,0,0,0
"AC005703.3",0,0,0,0
"AC005722.4",0,0,0,0
"AC005725.1",0,0,0,0
"AC005730.2",0,0,0,0
"AC005740.3",0,0,0,0
"AC005740.4",68,52,85,103
"AC005740.5",1,2,0,1
"AC005740.6",1,2,1,7
"AC005741.2",0,0,0,0
"AC005754.7",1,1,6,5
"AC005754.8",1,2,3,9
"AC005757.6",0,0,0,0
"AC005757.7",0,0,0,0
"AC005758.1",0,0,0,0
"AC005772.2",0,0,0,0
"AC005775.2",0,1,1,4
"AC005776.1",1,1,1,1
"AC005777.3",0,0,0,0
"AC005779.1",0,0,0,1
"AC005779.2",0,0,0,0
"AC005780.1",0,0,0,0
"AC005783.1",0,0,0,0
"AC005785.2",4,6,1,3
"AC005786.3",0,0,0,0
"AC005786.5",0,0,0,1
"AC005786.7",0,0,0,0
"AC005789.11",15,37,21,59
"AC005789.9",0,0,0,0
"AC005794.1",0,0,1,0
"AC005795.1",278,266,307,457
"AC005808.3",0,0,0,0
"AC005822.1",617,348,678,1001
"AC005831.1",0,0,0,0
"AC005838.2",0,0,0,0
"AC005841.1",6,4,4,10
"AC005863.1",0,0,0,0
"AC005863.2",0,0,0,0
"AC005884.1",1,0,0,0
"AC005926.1",0,0,0,0
"AC005932.1",1,2,7,22
"AC005943.4",3,0,8,1
"AC005943.5",47,40,85,109
"AC005944.2",0,0,0,0
"AC005954.3",0,0,1,3
"AC005954.4",0,0,0,0
"AC006000.5",0,0,0,0
"AC006001.1",1,0,0,0
"AC006003.3",0,0,0,0
"AC006004.1",0,0,0,0
"AC006007.1",0,0,0,0
"AC006011.4",0,0,0,0
"AC006014.1",5,0,1,0
"AC006014.10",0,0,0,0
"AC006014.7",0,0,0,0
"AC006014.8",0,0,0,0
"AC006019.3",0,0,0,0
"AC006019.4",0,0,0,0
"AC006022.4",0,0,0,0
"AC006023.8",4,4,8,5
"AC006024.4",123,113,91,104
"AC006026.1",0,0,0,0
"AC006026.10",371,253,414,572
"AC006026.12",0,0,0,0
"AC006026.13",1,0,0,1
"AC006026.9",197,125,220,235
"AC006028.11",55,46,63,45
"AC006033.22",7,4,12,10
"AC006035.1",0,0,0,0
"AC006037.2",0,0,0,0
"AC006041.1",0,0,0,0
"AC006042.6",0,0,0,0
"AC006042.7",0,0,0,0
"AC006042.8",52,53,78,106
"AC006045.3",0,0,1,2
"AC006050.2",0,0,0,0
"AC006070.12",0,0,0,0
"AC006076.1",0,0,0,0
"AC006077.4",0,0,0,0
"AC006080.1",0,0,0,0
"AC006111.1",1,1,4,6
"AC006115.1",0,0,0,0
"AC006115.3",0,1,0,0
"AC006115.6",0,0,0,0
"AC006116.1",1,0,0,1
"AC006116.12",2,1,3,7
"AC006116.13",15,14,14,33
"AC006116.14",0,0,0,0
"AC006116.15",0,0,2,1
"AC006116.17",2,1,2,2
"AC006116.19",1,0,0,1
"AC006116.20",3,0,4,6
"AC006116.21",1,0,0,1
"AC006116.22",136,94,109,96
"AC006116.24",2,0,8,2
"AC006116.27",0,0,0,0
"AC006126.3",0,0,1,0
"AC006126.4",0,0,1,0
"AC006129.1",3,0,1,0
"AC006129.2",0,0,0,0
"AC006129.4",0,0,0,0
"AC006130.1",0,0,0,0
"AC006130.3",0,0,0,0
"AC006130.4",0,0,0,0
"AC006133.3",0,0,0,0
"AC006145.1",0,0,0,0
"AC006150.1",0,0,0,0
"AC006150.2",0,0,0,0
"AC006153.3",0,0,0,0
"AC006156.1",0,0,0,0
"AC006156.2",0,0,0,0
"AC006159.3",0,0,0,0
"AC006159.4",0,0,0,2
"AC006159.5",1,0,1,0
"AC006160.5",4,1,2,4
"AC006195.2",0,1,0,3
"AC006196.1",0,0,0,0
"AC006227.1",0,0,0,0
"AC006262.10",0,0,0,0
"AC006262.4",0,0,0,0
"AC006262.5",0,0,0,0
"AC006262.6",0,1,1,1
"AC006272.1",1,0,1,4
"AC006272.2",0,0,0,0
"AC006273.4",0,1,0,4
"AC006273.5",5,6,7,5
"AC006273.7",0,0,0,0
"AC006277.2",3,3,0,0
"AC006296.1",0,0,0,0
"AC006296.2",0,0,0,0
"AC006322.1",0,0,0,0
"AC006326.3",0,0,0,0
"AC006326.5",0,0,0,0
"AC006328.1",0,0,0,0
"AC006328.9",0,0,0,0
"AC006335.10",0,0,0,0
"AC006335.11",0,0,0,0
"AC006335.2",0,0,0,0
"AC006335.6",0,0,0,0
"AC006355.3",0,0,0,1
"AC006366.3",0,0,0,0
"AC006369.2",0,0,0,0
"AC006369.3",0,0,0,0
"AC006371.1",0,0,0,0
"AC006372.1",0,0,0,0
"AC006372.4",0,0,0,0
"AC006372.5",0,0,0,0
"AC006372.6",0,0,0,0
"AC006373.1",0,0,0,0
"AC006377.1",0,0,0,0
"AC006378.2",5,6,21,17
"AC006380.1",0,0,0,0
"AC006380.3",0,0,0,0
"AC006390.4",0,0,0,0
"AC006427.2",0,0,0,0
"AC006432.1",0,0,0,0
"AC006435.1",0,0,0,0
"AC006445.6",0,0,0,0
"AC006445.7",0,1,0,0
"AC006449.1",0,0,0,0
"AC006452.1",0,0,0,0
"AC006455.1",0,0,0,0
"AC006458.3",0,0,0,0
"AC006460.2",0,0,0,0
"AC006461.2",0,0,0,0
"AC006465.4",4,5,11,7
"AC006466.5",14,14,12,21
"AC006480.1",0,0,0,1
"AC006482.1",0,0,0,0
